['[CLS]', 'Um', 'das', 'Vorhandensein', 'der', 'Polymerasekettenreaktion-Produkte', 'feststellen', 'zu', 'können', 'verwendet', 'man', 'die', 'Gelelektrophorese', 'mit', 'einer', 'anschließenden', 'Behandlung', 'des', 'Gels', 'durch', 'Ethidiumbromid', '[SEP]']	[0.9986457228660583, 2.7354697522241622e-05, 2.738424518611282e-05, 0.0001248269691132009, 2.806536758725997e-05, 0.00028335906063148286, 3.7752182834083214e-05, 2.9952654585940763e-05, 3.0327728381962515e-05, 3.814873707597144e-05, 3.2419266062788665e-05, 3.0245470043155365e-05, 0.00018021676260104869, 2.9340195396798663e-05, 2.7222260541748255e-05, 3.944658601540141e-05, 4.407010055729188e-05, 2.9930468372185715e-05, 5.729730946768541e-05, 2.6818674086825922e-05, 0.00018327118959859945, 4.6546465455321595e-05]
['[CLS]', 'Bei', 'dieser', 'Methode', 'wird', 'die', 'negative', 'Ladung', 'der', 'DNA-Fragmente', 'genutzt', '[SEP]']	[0.7322892546653748, 0.01629427634179592, 0.016292091459035873, 0.021096616983413696, 0.01801335997879505, 0.01645861193537712, 0.021466117352247238, 0.022037960588932037, 0.016237298026680946, 0.08026965148746967, 0.018404537811875343, 0.021140307188034058]
['[CLS]', 'Die', 'DNA-Fragmente', 'sind', 'auf', 'Grund', 'der', 'darin', 'enthaltenen', 'Phosphatreste', 'negativ', 'geladen', '[SEP]']	[0.9189556241035461, 0.0035803569480776787, 0.01956538949161768, 0.004149177577346563, 0.0039801872335374355, 0.004113844595849514, 0.003797916229814291, 0.0045279208570718765, 0.0051995934918522835, 0.018025811528787017, 0.004551893565803766, 0.004426481202244759, 0.005125649273395538]
['[CLS]', 'Anlegen', 'eines', 'elektrischen', 'Feldes', 'lässt', 'die', 'Polymerasekettenreaktion-Produkte', 'durch', 'ein', 'gelartiges', 'Medium', 'zumeist', 'Agarose', 'wandern', '[SEP]']	[0.9895757436752319, 0.000662841834127903, 0.00034223092370666564, 0.000563238572794944, 0.000654201750876382, 0.00036944993189536035, 0.00034097456955350935, 0.00327108905185014, 0.000333200121531263, 0.0003167339600622654, 0.000765781500376761, 0.00040352027281187475, 0.00034689862513914704, 0.0010589940939098597, 0.0004638246900867671, 0.0005316120805218816]
['[CLS]', 'Die', 'DNA-Fragmente', 'wandern', 'durch', 'das', 'Agarose-Sieb', 'vom', 'Minuspol', 'zum', 'Pluspol', '[SEP]']	[0.9508805871009827, 0.0018776766955852509, 0.01092597865499556, 0.004062097519636154, 0.0021754831541329622, 0.0020504435524344444, 0.011616394855082035, 0.002060322556644678, 0.004697038093581796, 0.0019380993908271194, 0.004515778855420649, 0.003199988976120949]
['[CLS]', 'Kleinere', 'Fragmente', 'wandern', 'schneller', 'durch', 'das', 'Agarose-Sieb', 'daher', 'befinden', 'sie', 'sich', 'in', 'der', 'Nähe', 'zum', 'Pluspol', 'des', 'Gels', '[SEP]']	[0.9796146154403687, 0.0012547309743240476, 0.001788224559277296, 0.0012036595726385713, 0.0008174115209840238, 0.000655858195386827, 0.0006276504718698561, 0.003584568214137107, 0.0007134112529456615, 0.0010527318809181452, 0.0006443966994993389, 0.000663260871078819, 0.0007098984206095338, 0.00065443548373878, 0.0008720794576220214, 0.0006198431947268546, 0.0015343691920861602, 0.0006830195197835565, 0.0012131987023167312, 0.0010926257818937302]
['[CLS]', 'Die', 'größeren', 'Fragmente', 'wandern', 'langsamer', 'und', 'bleiben', 'in', 'der', 'Nähe', 'zum', 'Minuspol', '[SEP]']	[0.8521584868431091, 0.007626834791153669, 0.008647624403238297, 0.021815705113112926, 0.014132067561149597, 0.010490014217793941, 0.00930088572204113, 0.009359888732433319, 0.009171629324555397, 0.008665800094604492, 0.010897968895733356, 0.007971948944032192, 0.018376607447862625, 0.01138458214700222]
['[CLS]', 'Um', 'DNA-Fragmente', 'sichtbar', 'zu', 'machen', 'behandelt', 'man', 'das', 'Gel', 'mit', 'einer', 'wässrigen', 'Lösung', 'von', 'Ethidiumbromid', '[SEP]']	[0.97642982006073, 0.0007187951705418527, 0.00417463609483093, 0.0009827810572460294, 0.000832127348985523, 0.0008780165226198733, 0.0009534001583233476, 0.0008338225889019668, 0.0007734415703453124, 0.0008400401566177607, 0.0008248846861533821, 0.0007672598003409803, 0.0031325755990110338, 0.0010443293722346425, 0.0007574448827654123, 0.004930407798383385, 0.0011259487364441156]
['[CLS]', 'Das', 'Molekül', 'des', 'Ethidiumbromids', 'ist', 'planar', 'und', 'kann', 'sich', 'zwischen', 'den', 'Basen', 'der', 'DNA-Fragmente', 'einlagern', '[SEP]']	[0.9817091226577759, 0.0005142526933923364, 0.0018592124688439071, 0.000533615646418184, 0.00369434233289212, 0.0006271796301007271, 0.0010733697563409805, 0.0007162759429775178, 0.0005957879475317895, 0.0005542740109376609, 0.0006438103155232966, 0.0005571629153564572, 0.0012236908660270274, 0.0005838546785525978, 0.0030000200495123863, 0.0012932262616232038, 0.000820389308501035]
['[CLS]', 'Nur', 'nach', 'dem', 'Entstehen', 'eines', 'solchen', 'Komplexes', 'und', 'durch', 'das', 'Beleuchten', 'mit', 'UV-Licht', 'kann', 'man', 'die', 'Polymerasekettenreaktion-Produkte', 'in', 'Form', 'von', 'Banden', 'sehen', 'und', 'fotografieren', '[SEP]']	[0.9932659268379211, 0.00014382471272256225, 0.00015166352386586368, 0.0001327010104432702, 0.0003635633474914357, 0.0001662248105276376, 0.00016841437900438905, 0.0003392098587937653, 0.0001788639056030661, 0.0001564242847962305, 0.0001504347746958956, 0.00036333370371721685, 0.00014070044562686235, 0.0005600867152679712, 0.00017368418048135936, 0.00018995258142240345, 0.00015573050768580288, 0.001496672339271754, 0.0001500533544458449, 0.00017151639622170478, 0.0001426304952474311, 0.0003394183731870726, 0.00016406043141614646, 0.00015575040015392005, 0.0003319120587548241, 0.00024743203539401293]
